,Content ID,Reaction_Type,Datetime,Content_Type,Category,Sentiment,Score
14979,df06cdab-afc8-4965-9b10-c270b0cafedf,super love,18-05-2021 16:40,photo,animals,positive,75
14978,17e3a8c5-ecb6-445d-8b69-f8c202d08549,super love,10-04-2021 16:56,audio,cooking,positive,75
14977,17e3a8c5-ecb6-445d-8b69-f8c202d08549,super love,15-06-2021 21:05,audio,cooking,positive,75
14976,17e3a8c5-ecb6-445d-8b69-f8c202d08549,super love,12-06-2021 00:38,audio,cooking,positive,75
14975,17e3a8c5-ecb6-445d-8b69-f8c202d08549,super love,30-03-2021 20:34,audio,cooking,positive,75
14974,17e3a8c5-ecb6-445d-8b69-f8c202d08549,super love,11-08-2020 02:02,audio,cooking,positive,75
14973,17e3a8c5-ecb6-445d-8b69-f8c202d08549,super love,25-09-2020 17:12,audio,cooking,positive,75
14972,17e3a8c5-ecb6-445d-8b69-f8c202d08549,super love,08-12-2020 00:02,audio,cooking,positive,75
14947,292051b5-b835-4a60-962a-bddf10da82bd,super love,20-07-2020 09:13,photo,technology,positive,75
14946,292051b5-b835-4a60-962a-bddf10da82bd,super love,23-07-2020 04:20,photo,technology,positive,75
14945,292051b5-b835-4a60-962a-bddf10da82bd,super love,06-03-2021 08:15,photo,technology,positive,75
14911,bfeb6117-9179-469d-9ea8-8f41a251a5fc,super love,10-10-2020 07:32,video,fitness,positive,75
14920,1b7d1f70-21dd-483b-b395-e15f4c2368f1,super love,23-04-2021 07:44,photo,animals,positive,75
14919,1b7d1f70-21dd-483b-b395-e15f4c2368f1,super love,31-01-2021 21:52,photo,animals,positive,75
14918,1b7d1f70-21dd-483b-b395-e15f4c2368f1,super love,14-12-2020 22:39,photo,animals,positive,75
14917,1b7d1f70-21dd-483b-b395-e15f4c2368f1,super love,26-09-2020 20:45,photo,animals,positive,75
14916,a6cace19-96eb-40b3-b6fb-2a1a4e444dde,super love,09-03-2021 18:05,photo,cooking,positive,75
14915,a6cace19-96eb-40b3-b6fb-2a1a4e444dde,super love,31-08-2020 19:12,photo,cooking,positive,75
14914,f0a10ef0-89c7-46b0-828a-e9eec53a8cbe,super love,20-08-2020 04:29,audio,education,positive,75
14913,f0a10ef0-89c7-46b0-828a-e9eec53a8cbe,super love,14-03-2021 18:21,audio,education,positive,75
14912,1287b5c5-604b-462b-bf77-e64a8e89739e,super love,20-02-2021 14:35,photo,studying,positive,75
14910,bfeb6117-9179-469d-9ea8-8f41a251a5fc,super love,21-08-2020 06:25,video,fitness,positive,75
14944,292051b5-b835-4a60-962a-bddf10da82bd,super love,29-10-2020 02:13,photo,technology,positive,75
14909,bfeb6117-9179-469d-9ea8-8f41a251a5fc,super love,13-09-2020 17:25,video,fitness,positive,75
14908,09f5578e-6cf1-4e80-b102-7aae7b9d5d67,super love,13-08-2020 18:54,GIF,studying,positive,75
14907,72167d71-578d-428f-af6d-5a8a92e677af,super love,08-03-2021 03:16,photo,animals,positive,75
14906,aafa015b-7447-421e-91bb-b64720402d9e,super love,23-11-2020 02:25,video,cooking,positive,75
14905,43ea5509-7ff1-4150-b263-d5eac9d6f69f,super love,26-05-2021 05:37,audio,dogs,positive,75
14904,efffd88f-7ddb-4579-bbf2-e3d248c122b4,super love,17-04-2021 08:24,video,tennis,positive,75
14903,781383dc-f5ff-4d62-87df-c3557f5eced9,super love,23-10-2020 00:08,audio,technology,positive,75
14902,781383dc-f5ff-4d62-87df-c3557f5eced9,super love,01-10-2020 15:37,audio,technology,positive,75
14901,f3e8d168-6fb9-48b9-8347-b35595162c1d,super love,07-03-2021 16:18,video,soccer,positive,75
14921,27e2cea3-b408-4e66-801b-29fdf7c03b05,super love,01-10-2020 18:30,photo,travel,positive,75
14922,c6616e7c-f815-46d0-9b1d-d7ea977f5d32,super love,30-04-2021 08:20,audio,technology,positive,75
14923,c6616e7c-f815-46d0-9b1d-d7ea977f5d32,super love,06-05-2021 04:58,audio,technology,positive,75
14924,846b8dcf-d2d2-45e7-816d-7dd62d4fbbe4,super love,17-01-2021 04:03,audio,culture,positive,75
14943,292051b5-b835-4a60-962a-bddf10da82bd,super love,29-01-2021 09:14,photo,technology,positive,75
14942,292051b5-b835-4a60-962a-bddf10da82bd,super love,02-05-2021 12:34,photo,technology,positive,75
14941,b6f447e5-0a89-468a-8ad2-fd45676170d5,super love,30-09-2020 05:20,photo,veganism,positive,75
14940,b6f447e5-0a89-468a-8ad2-fd45676170d5,super love,15-04-2021 11:12,photo,veganism,positive,75
14939,7df08397-b59a-4973-8c62-fc5d4c36c08a,super love,05-12-2020 02:21,GIF,veganism,positive,75
14938,7df4b13f-c41a-4c81-88fb-213a6a96acc5,super love,28-04-2021 14:39,audio,culture,positive,75
14937,7df4b13f-c41a-4c81-88fb-213a6a96acc5,super love,30-05-2021 11:24,audio,culture,positive,75
14936,461cb0ce-0b43-4f13-a8bd-847fc6428c6c,super love,23-08-2020 15:50,photo,fitness,positive,75
14935,461cb0ce-0b43-4f13-a8bd-847fc6428c6c,super love,25-12-2020 08:16,photo,fitness,positive,75
14934,461cb0ce-0b43-4f13-a8bd-847fc6428c6c,super love,10-09-2020 13:00,photo,fitness,positive,75
14933,461cb0ce-0b43-4f13-a8bd-847fc6428c6c,super love,28-02-2021 23:00,photo,fitness,positive,75
14932,6b2db46f-f733-4b56-af09-0ed7bb232ed4,super love,24-06-2020 05:42,audio,animals,positive,75
14931,6b2db46f-f733-4b56-af09-0ed7bb232ed4,super love,21-05-2021 06:32,audio,animals,positive,75
14930,46c69019-89b5-4a13-9b8a-2942ca22837f,super love,15-01-2021 04:52,video,science,positive,75
14929,46c69019-89b5-4a13-9b8a-2942ca22837f,super love,27-11-2020 03:49,video,science,positive,75
14928,5d3d5107-2404-4fb8-a9b6-3c8428492f64,super love,02-06-2021 02:14,video,studying,positive,75
14927,3fc1f583-ce7e-4cfe-b891-d16976953fda,super love,03-11-2020 17:58,GIF,science,positive,75
14926,3fc1f583-ce7e-4cfe-b891-d16976953fda,super love,01-01-2021 08:47,GIF,science,positive,75
14925,3fc1f583-ce7e-4cfe-b891-d16976953fda,super love,11-05-2021 11:52,GIF,science,positive,75
14804,87958932-6baf-4339-b01b-6112d9b180ed,super love,15-05-2021 08:36,audio,culture,positive,75
14803,87958932-6baf-4339-b01b-6112d9b180ed,super love,08-03-2021 09:52,audio,culture,positive,75
14802,87958932-6baf-4339-b01b-6112d9b180ed,super love,13-03-2021 06:43,audio,culture,positive,75
14672,0ce7392d-5c20-4ffa-a42f-767f51e9b466,super love,28-04-2021 15:54,GIF,travel,positive,75
14681,2d7084fb-b457-4813-829f-73911025eeaa,super love,18-06-2021 05:23,GIF,cooking,positive,75
14680,69ce055c-e0bd-46c5-b856-bf2254d1c490,super love,16-11-2020 05:17,GIF,healthy eating,positive,75
14679,d90a34f1-60ed-4a79-b7bf-fd22efa12e4c,super love,21-02-2021 01:32,photo,travel,positive,75
14678,d90a34f1-60ed-4a79-b7bf-fd22efa12e4c,super love,05-10-2020 17:45,photo,travel,positive,75
14677,6ddba21a-cc51-4bbd-b38d-02df5cec5f68,super love,22-06-2020 18:08,audio,culture,positive,75
14676,ed28489e-90b0-4daa-a1fa-22170cdc89d5,super love,07-07-2020 09:28,audio,veganism,positive,75
14675,ed28489e-90b0-4daa-a1fa-22170cdc89d5,super love,20-10-2020 01:09,audio,veganism,positive,75
14674,ed28489e-90b0-4daa-a1fa-22170cdc89d5,super love,30-06-2020 18:29,audio,veganism,positive,75
14673,ed28489e-90b0-4daa-a1fa-22170cdc89d5,super love,05-01-2021 07:04,audio,veganism,positive,75
14671,0ce7392d-5c20-4ffa-a42f-767f51e9b466,super love,13-09-2020 11:04,GIF,travel,positive,75
14683,8a5dddcf-dda6-4715-a804-10d98cbf8fdc,super love,02-03-2021 16:16,video,education,positive,75
14670,0ce7392d-5c20-4ffa-a42f-767f51e9b466,super love,05-07-2020 04:21,GIF,travel,positive,75
14669,d6c98c19-5733-47fd-9b03-e4574fbe4220,super love,04-06-2021 22:00,photo,travel,positive,75
14668,73fde78d-7908-4406-8377-747873ecd29a,super love,07-11-2020 10:20,video,studying,positive,75
14667,73fde78d-7908-4406-8377-747873ecd29a,super love,19-11-2020 14:17,video,studying,positive,75
14666,73fde78d-7908-4406-8377-747873ecd29a,super love,22-07-2020 21:47,video,studying,positive,75
14665,73fde78d-7908-4406-8377-747873ecd29a,super love,11-08-2020 22:43,video,studying,positive,75
14664,12a7140a-6fe7-41e2-b2b4-75d913fcca1e,super love,12-10-2020 18:45,GIF,studying,positive,75
14663,12a7140a-6fe7-41e2-b2b4-75d913fcca1e,super love,14-08-2020 21:22,GIF,studying,positive,75
14662,3af75639-bdaf-4461-b630-d212e7fb4f30,super love,12-03-2021 18:26,audio,education,positive,75
14682,2d7084fb-b457-4813-829f-73911025eeaa,super love,12-01-2021 04:10,GIF,cooking,positive,75
14684,985f4b4f-de40-4a4e-a090-01e100be42e9,super love,01-07-2020 13:19,GIF,travel,positive,75
14707,a8e72f75-bebc-42b4-a3c7-deb8a2412878,super love,11-07-2020 02:41,audio,technology,positive,75
14696,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,super love,02-08-2020 22:19,video,fitness,positive,75
14705,41e6d775-b5ca-4d6c-8f50-66ac3c92a300,super love,06-10-2020 01:29,photo,veganism,positive,75
14704,41e6d775-b5ca-4d6c-8f50-66ac3c92a300,super love,05-08-2020 23:14,photo,veganism,positive,75
14703,41e6d775-b5ca-4d6c-8f50-66ac3c92a300,super love,23-01-2021 19:20,photo,veganism,positive,75
14702,853e37de-5ba2-447a-a0dd-a1b4407e5ec4,super love,22-10-2020 06:43,photo,travel,positive,75
14701,853e37de-5ba2-447a-a0dd-a1b4407e5ec4,super love,04-08-2020 11:33,photo,travel,positive,75
14700,853e37de-5ba2-447a-a0dd-a1b4407e5ec4,super love,13-04-2021 21:14,photo,travel,positive,75
14699,853e37de-5ba2-447a-a0dd-a1b4407e5ec4,super love,28-03-2021 16:42,photo,travel,positive,75
14698,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,super love,10-06-2021 22:10,video,fitness,positive,75
14697,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,super love,09-01-2021 11:32,video,fitness,positive,75
14695,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,super love,18-07-2020 07:23,video,fitness,positive,75
14685,585c17a5-df96-4a6d-b144-a499e0469546,super love,11-04-2021 17:16,GIF,healthy eating,positive,75
14694,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,super love,29-06-2020 16:41,video,fitness,positive,75
14693,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,super love,22-09-2020 07:20,video,fitness,positive,75
14692,2c5a6a94-7291-409b-ba32-ba34c5ad7c0e,super love,03-12-2020 15:28,photo,fitness,positive,75
14691,2c5a6a94-7291-409b-ba32-ba34c5ad7c0e,super love,10-11-2020 14:33,photo,fitness,positive,75
14690,2c5a6a94-7291-409b-ba32-ba34c5ad7c0e,super love,15-11-2020 22:33,photo,fitness,positive,75
14689,8ed94c6d-bcb3-460c-aa5f-69199d2495e5,super love,25-07-2020 19:52,photo,soccer,positive,75
14688,585c17a5-df96-4a6d-b144-a499e0469546,super love,02-04-2021 13:03,GIF,healthy eating,positive,75
14687,585c17a5-df96-4a6d-b144-a499e0469546,super love,14-08-2020 10:45,GIF,healthy eating,positive,75
14686,585c17a5-df96-4a6d-b144-a499e0469546,super love,11-02-2021 12:34,GIF,healthy eating,positive,75
14661,2073855c-fab2-41ee-ad15-d4269b2ac4bd,super love,15-12-2020 13:17,audio,education,positive,75
14660,2073855c-fab2-41ee-ad15-d4269b2ac4bd,super love,15-08-2020 07:03,audio,education,positive,75
14659,19f998c4-270b-489d-bea6-ae161d301923,super love,13-02-2021 06:32,GIF,travel,positive,75
14624,fd060448-7b3e-4626-b3ca-44bfe764e26f,super love,02-06-2021 21:41,photo,cooking,positive,75
14633,43450a12-1e4c-4a17-a846-9d8768984051,super love,06-05-2021 16:20,video,animals,positive,75
14632,b13bec8c-4469-4cc8-8650-7057eb95d3ee,super love,02-09-2020 19:30,GIF,travel,positive,75
14631,6380e982-07ac-4d21-bd23-cec0bcfa1ff9,super love,08-01-2021 02:20,photo,soccer,positive,75
14630,af373863-f9df-4330-b423-d2b802b30d6e,super love,13-12-2020 00:19,video,food,positive,75
14629,79f1b9b4-b21b-4abd-802a-811540cbc845,super love,29-06-2020 14:52,audio,travel,positive,75
14628,79f1b9b4-b21b-4abd-802a-811540cbc845,super love,05-02-2021 05:32,audio,travel,positive,75
14627,b400ea0c-43f0-4307-a3b2-78e5784d69be,super love,25-07-2020 13:09,audio,fitness,positive,75
14626,74c85e37-5017-462e-bee2-2769db7a17c1,super love,04-12-2020 19:52,photo,healthy eating,positive,75
